param_type,param_name,out_u_bound,in_l_bound,out_l_bound,base,in_u_bound
output,g138_Phi,1,0.42426077236249155,0,10,0.43026860579590775
output,g138_phi_2,1,0.3113299523037931,0,10,0.34088017341364574
output,g139_phi_1,1,0.505800931949501,0,10,0.542003347503985
output,g139_Phi,1,0.46811091533723737,0,10,0.4702193240517292
output,g139_phi_2,1,-4.4424807679429055,0,10,0.7981601474457172
output,g140_phi_1,1,-0.13067438890947458,0,10,-0.06086029687110626
output,g140_Phi,1,0.3685471975676564,0,10,0.39201068319549925
output,g140_phi_2,1,0.45429593073984975,0,10,0.4759035245513982
output,g141_phi_1,1,0.21547893636253548,0,10,0.22036963245139446
output,g141_Phi,1,0.21317230904681925,0,10,0.22219604630171985
output,g141_phi_2,1,0.6112664745999569,0,10,0.6143592854836724
output,g142_phi_1,1,0.17411798125426692,0,10,0.19774906762261246
output,g142_Phi,1,0.24929621554427667,0,10,0.2739730037695494
output,g142_phi_2,1,0.5027274714032087,0,10,0.5070593848021158
output,g143_phi_1,1,-0.13087393231741903,0,10,-0.11243333280144874
output,g143_Phi,1,0.3806272412887885,0,10,0.39194023516713555
output,g143_phi_2,1,0.45207791348984605,0,10,0.45881908194602994
output,g145_phi_1,1,0.3360592778663493,0,10,0.3455697560563921
output,g145_Phi,1,0.36552542245670905,0,10,0.37116025552427134
output,g145_phi_2,1,0.692635446550164,0,10,0.6978306595992287
output,g146_phi_1,1,0.05713336724908679,0,10,0.08357427967399125
output,g146_Phi,1,0.4049704807470022,0,10,0.4097810091332019
output,g146_phi_2,1,0.48641630914589234,0,10,0.500606922065987
output,g147_phi_1,1,0.0006509536295950582,0,10,0.0804460946110488
output,g147_Phi,1,0.29287604930887784,0,10,0.3326202195656405
output,g147_phi_2,1,0.5445269131574867,0,10,0.553955807329781
output,g148_phi_1,1,-0.37608943123771243,0,10,-0.27206041577876866
output,g148_Phi,1,0.29622628726116057,0,10,0.3069180203772988
output,g148_phi_2,1,0.512724409221682,0,10,0.5175125930164411
output,g149_phi_1,1,0.2303978249040808,0,10,0.24816951330681028
